fonte,categoria,campo,valor,severidade,mensagem
caminhao,dimensao,,1202x26,INFO,Dimensao observada
caminhao,dtype,ANO MÊS,period[M],INFO,Tipo estrutural observado
caminhao,dtype,EQUIPAMENTO,object,INFO,Tipo estrutural observado
caminhao,dtype,DF (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,DF (META),17,WARNING,Campo contem valores nulos
caminhao,coercao,DF (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,DF (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,DF (REAL),3,WARNING,Campo contem valores nulos
caminhao,coercao,DF (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTBF (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTBF (META),16,WARNING,Campo contem valores nulos
caminhao,coercao,MTBF (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTBF (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTBF (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,MTBF (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTBS (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTBS (META),16,WARNING,Campo contem valores nulos
caminhao,coercao,MTBS (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTBS (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTBS (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,MTBS (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTTR (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTTR (META),15,WARNING,Campo contem valores nulos
caminhao,coercao,MTTR (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,MTTR,Float64,INFO,Tipo estrutural observado
caminhao,nulos,MTTR,14,WARNING,Campo contem valores nulos
caminhao,coercao,MTTR,0,INFO,Coercao numerica; amostra: []
caminhao,dtype,NIC (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,NIC (META),16,WARNING,Campo contem valores nulos
caminhao,coercao,NIC (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,NIC (VMINA),Float64,INFO,Tipo estrutural observado
caminhao,nulos,NIC (VMINA),14,WARNING,Campo contem valores nulos
caminhao,coercao,NIC (VMINA),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,UF (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,UF (META),16,WARNING,Campo contem valores nulos
caminhao,coercao,UF (META),0,INFO,Coercao numerica; amostra: []
caminhao,impossiveis,UF (META),3,ERROR,Percentual acima de 100
caminhao,dtype,UF (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,UF (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,UF (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,RO (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,RO (META),23,WARNING,Campo contem valores nulos
caminhao,coercao,RO (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,RO (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,RO (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,RO (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,HO (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,HO (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,HO (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,HT (META),Float64,INFO,Tipo estrutural observado
caminhao,nulos,HT (META),16,WARNING,Campo contem valores nulos
caminhao,coercao,HT (META),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,HT (REAL),Float64,INFO,Tipo estrutural observado
caminhao,nulos,HT (REAL),4,WARNING,Campo contem valores nulos
caminhao,coercao,HT (REAL),0,INFO,Coercao numerica; amostra: []
caminhao,dtype,HM (META),Float64,INFO,Tipo estrutural observado
